sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
2.7103;4.5236;8.628;2.7592;4.3248;8.3578;-0.0772;0.106;0.0508;-0.091;-0.0251;0.005;2.4;-38.49;-14.48;-5.74;97.69;-26.44;-18.61;5.0;65.599;;;;NaN;;;;0 / 0;67;2021-03-12 21:37:37:445
2.795;4.2519;8.602;2.7049;4.182;8.4478;0.0368;-0.0407;-0.0172;-0.0189;0.0023;0.0165;2.4;-38.4;-13.99;-6.09;98.74;-25.24;-17.75;5.0;63.599;;;;NaN;;;;0 / 0;568;2021-03-12 21:37:37:946
2.6525;4.4207;8.7303;2.6249;4.2619;8.4331;0.017;-0.008;0.0023;0.0475;0.0085;0.0016;2.4;-38.68;-13.81;-6.21;98.24;-25.68;-17.18;5.0;58.671;;;;NaN;;;;0 / 0;1066;2021-03-12 21:37:38:444
2.7287;4.1892;8.6891;2.5523;4.2811;8.4456;-0.0366;0.0297;0.0163;0.0073;0.0269;-0.0884;2.4;-38.42;-14.41;-6.52;98.01;-25.93;-16.91;5.0;64.365;;;;NaN;;;;0 / 0;1567;2021-03-12 21:37:38:945
1.5705;6.2634;7.5979;1.6606;5.459;7.9758;-0.7376;0.3703;-0.9394;0.0195;-0.0961;-0.0435;1.5;-37.24;-23.09;-5.51;108.39;-33.83;-11.76;5.0;67.063;;;;NaN;;;;0 / 0;2066;2021-03-12 21:37:39:444
1.9394;4.2246;6.7283;1.7079;4.3607;8.6161;-0.1121;-0.0076;-1.7731;-1.724;0.4516;1.267;3.3;-35.74;-10.48;-12.77;90.3;-26.4;-11.21;5.0;61.627;;;;NaN;;;;0 / 0;2567;2021-03-12 21:37:39:945
1.4616;4.2879;8.5182;1.8543;3.9396;8.787;-0.3185;0.5029;-1.2599;0.1864;-0.5738;0.0527;2.7;-37.61;-17.8;-9.52;108.6;-19.36;-6.03;5.0;63.474;;;;NaN;;;;0 / 0;3069;2021-03-12 21:37:40:447
1.9137;4.4393;8.7645;1.813;4.2657;8.6422;0.0152;0.0678;-0.151;0.2365;0.0943;0.0413;2.7;-37.99;-18.95;-7.71;106.17;-25.78;-11.85;5.0;61.412;;;;NaN;;;;0 / 0;3567;2021-03-12 21:37:40:945
2.0835;3.9409;9.0304;1.9047;3.6452;8.9025;-0.2867;0.0685;0.9695;0.8003;-0.1403;-0.0019;2.7;-38.27;-17.47;-8.12;107.44;-21.82;-12.08;5.0;63.782;;;;NaN;;;;0 / 0;4068;2021-03-12 21:37:41:446
1.8757;4.2598;9.208;1.8757;4.2954;8.614;-0.0506;-0.1116;0.1889;0.3121;-0.0288;-8.0E-4;2.7;-38.47;-18.19;-7.26;105.71;-25.04;-12.1;5.0;53.682;;;;NaN;;;;0 / 0;4567;2021-03-12 21:37:41:945
